LOCATION,country,2018
AUS,Australia,421000
AUT,Austria,68900
BEL,Belgium,99700
CAN,Canada,569000
CZE,Czech Republic,106000
DNK,Denmark,34800
FIN,Finland,47000
FRA,France,338000
DEU,Germany,760000
GRC,Greece,73900
HUN,Hungary,49900
ISL,Iceland,3630
IRL,Ireland,39000
ITA,Italy,338000
JPN,Japan,1160000
LUX,Luxembourg,9590
MEX,Mexico,478000
NLD,Netherlands,162000
NZL,New Zealand,34800
NOR,Norway,44400
POL,Poland,344000
PRT,Portugal,51000
SVK,Slovak Republic,36100
ESP,Spain,26800
SWE,Sweden,41100
CHE,Switzerland,36900
TUR,Turkey,42900
GBR,United Kingdom,379000
USA,United States,5420000
CHL,Chile,85900
COL,Colombia,97300
EST,Estonia,19600
ISR,Israel,64300
LVA,Latvia,7200
LTU,Lithuania,13600
SVN,Slovenia,14400
RUS,Russia,1710000
