"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2121.028,,
"AUS","Australia","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",133.755,,
"AUS","Australia","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2721.852,,
"AUS","Australia","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",167.934,,
"AUS","Australia","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2615.603,,
"AUS","Australia","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",45.658,,
"AUT","Austria","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,11.667,,
"AUT","Austria","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",15.845,,
"AUT","Austria","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,148.995,,
"AUT","Austria","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",68.86,,
"AUT","Austria","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,26.265,,
"AUT","Austria","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",64.44,,
"AUT","Austria","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,14.12,,
"AUT","Austria","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",52.248,,
"AUT","Austria","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,488.8,,
"AUT","Austria","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",39.151,,
"BEL","Belgium","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,37.885,,
